module_code,module_name
IMTN221|P1|22,APPLICATIONS DEVELOPMENT  IIIB
MELA501|D1|22,APPLICATIONS DEVELOPMENT PROJECT 1
SVPJ301|D1|22,APPLICATIONS DEVELOPMENT
IPPB101|D1|22,APPLICATIONS DEVELOPMENT PROJECT IIIB
CMCL101|D1|22,APPLIED ADMINISTRATIVE MANAGEMENT
ENGA202|D1|22,APPLICATIONS DEVELOPMENT PROJECT I
FSCP102|D1|22,APPLICATIONS DEVELOPMENT PROJECT II
BINS221|P1|22,ADVANCED PEOPLES MANAGEMENT
CTEC101|I1|22,ADVANCED PEOPLE MANAGEMENT
FCAB101|P1|22,APPIED FINANCIAL ACCOUNTING 3B
NMPB401|D1|22,APPLIED FINANCIAL ACCOUNTING
CCWB401|D1|22,APPLIED FINANCIAL ACCOUNTING
DVBL101|P1|22,APPLIED FINANCIAL MANAGEMENT
ELTE102|I1|22,APPLIED FINANCIAL MANAGEMENT
INTMAAC|D6|11,APPLIED FINANCIAL MANAGEMENT
SMBM401|D1|22,APPLIED PHOTOGRAPHIC TECHNIQUES IB
EVMN101|D1|22,APPLIED PHOTOGRAPHIC TECHNIQUES IIB
KZNM101|D1|22,ANATOMY AND PHYSIOLOGY FOR SOMATOLOGY 1B
OMNG321|P1|22,ADVANCED PROJECT MANAGEMENT
COBE101|D1|22,APPLIED MATHEMATICS FOR COMPUTING B
MBIO102|D1|22,APPLIED MANAGEMENT
AUDB201|D3|22,APPLIED MANAGEMENT
OPMT802|D3|22,APPLIED OFFICE PRACTICE
STME802|P1|22,APPLIED PROJECT MANAGEMENT
APCO101|D1|22,APPLIED PROJECT MANAGEMENT
ATPR802|D1|22,APPLIED PUBLIC RELATIONS AND COMMUNICATION PLANNING
CAMA301|D1|22,APPLIED RESEARCH ICT
FNLT101|D3|22,APPLIED MARKETING RESEARCH
DYNW201|D1|22,ACCOUNTING PRINCIPLES FOR HOSPITALITY
MNFE101|D1|22,APPLIED PROJECT MANAGEMENT
BSTT201|P1|22,ADVANCED PROCUREMENT MANAGEMENT
WVPR101|D1|22,ADVANCED PROJECT MANAGEMENT
EVLE101|D1|22,ADVANCED PROCUREMENT MANAGEMENTENT
ADSR404|D1|22,APPLIED RETAILING
FACB101|D3|22,APPLIED SCIENCES 1
CMAB101|I1|22,APPLIED STRATEGIC MANAGEMENT
CHME102|D1|22,APPLIED SCIENCES AND SOCIETY
WILE101|E1|22,APPLIED THERMODYNAMICS
BSAB301|D1|22,APPLIED TAX B
FIMT201|P1|22,APPLIED TAX B
LFSC102|I1|22,APPLIED SCIENCE AND COMMUNITY ENGAGEMENT
LSTM401|D1|22,APPLIED SCIENCE FOR ENVIRONMENT SUSTAINABILITY
WLTH101|D1|22,APPLIED STRATEGIC MANAGEMENT
EDCN402|I1|22,ADVANCED SERVICES MARKETING
BSPM221|P1|22,APPLIED SCIENCES FOR SUSTAINABLE DEVELOPMENT
CMHM101|D1|22,APPLIED STRATEGIC PROPOSAL
CAAU101|D1|22,APPLIED SCIENCE & WELLNESS
MTSP302|I1|22,ART THEORY IB
TECL101|D1|22,ART THEORY IIB
AERH802|D3|22,ART THEORY III B
STST201|D1|22,ATHLETIC INJURY MANAGEMENT
BIMC101|D1|22,AUTOMATION 4B
ADOM401|D3|22,ADVANCED TRANSLATION PRACTICE I
ELEP101|D1|22,AUDITING IIB
DFEN101|I1|22,AUDITING IIB
PORP301|D1|22,AUDITING 2B
HTDB301|D1|22,AUDITING II (MODULE 2)
SPBM401|P3|22,AUDITING III
NMPB301|D1|22,AUDITING III
PLDS121|D1|22,ADV VISUAL COMMUNICATION DESIGN 302
HYSA101|D1|22,BASIC 2&3 DIMENSIONAL STUDIES 1
REME101|D1|22,BASIC APPLICATION OF ARTIFICIAL INTELLIGENCE
MMED402|D1|11,BASIC INFORMATION LITERACY 1B
TXAN221|P1|22,BUSINESS ANALYSIS IIB
COMZ102|I1|22,BUSINESS ANALYSIS PROJECT IIIB
BUIN301|D1|22,BUSINESS ANALYSIS PROJECT IIIB
FOFP401|D1|22,BUSINESS ANALYSIS PROJECT 1
RMHD401|D1|22,BUSINESS ANALYSIS IIB
CPTP301|D1|22,BUSINESS ANALYSIS PROJECT IIIB
BNAP102|D1|22,BIOCHEMISTRY II
SLPB201|D1|22,BUSINESS COMM & INFO LITERACY
EGAD102|I1|22,BUSINESS COMM & INFO LITERACY
WVTC301|D1|22,BUSINESS COMM & INFO LITERACY
BUMA302|D1|22,BUSINESS COMM & INFO LITERACY
PCPM101|D1|22,BUSINESS COMM & INFO LITERACY
EMCT101|D1|22,BUSINESS COMM & INFO LITERACY
POSC301|D1|22,BUSINESS COMMUNICATION TECHNOLOGY
GRAP301|D1|22,BACTERIOLOGY II
CNRB401|I1|22,BACTERIOLOGY III
JWMB201|D1|22,BASIC DRAWING FOR FASHION DESIGN 1B
PRPJ201|P1|22,BUSINESS FUNDAMENTALS II
SODM401|D1|22,BASIC GARMENT DESIGN & DEVELOPMENT 1
HREM201|P1|22,BASICS OF GEOPOLITICS
APTX802|D3|22,BEHAVIOUR MANAGEMENT I
CMTR101|D1|22,BEHAVIOUR MANAGEMENT II
SSPM402|D3|22,BEHAVIOUR MANAGEMENT III
LGMN201|D1|22,BEHAVIOUR MANAGEMENT IV
WKPR101|D3|22,BUSINESS INFORMATION SYSTEMS I
PMGM101|D1|22,BUSINESS INFORMATION SYSTEMS I
CAFM301|D1|22,BUSINESS AND INFORMATION  MAN IB
BCIN101|D1|22,BUSINESS AND INFORMATION  MAN IIB
ITPM201|I1|22,BIOMECHANICS I
ADCD702|D1|22,BUSINESS AND INFORMATION  MAN PRAC I
DPPC401|D1|22,BUSINESS INFORMATICS
DINT421|D1|22,BUSINESS INFORMATION SYSTEMS II (MOD 2)
SVTB101|D1|22,BIOPROCESS ENGINEERING
CLWA221|P3|22,ENVIRONMENTAL BIOREMEDIATION
ENFL302|I1|22,BUSINESS INFORMATION SYSTEMS IIIB
SOMA402|D1|22,BUSINESS INFORMATION SYSTEMS 1
LPPL201|D1|22,BUSINESS INFORMATION SYSTEMS IIIB
APHB101|D1|22,BASIC LIFE SUPPORT
DICD101|I1|22,BUSINESS MANAGEMENT II
PATB301|D1|22,BUSINESS MANAGEMENT II
MDRN101|D1|22,BUSINESS MATHS
PSOH101|D1|22,BIOLOGICAL NATURAL SCI I: ANAT & PHYSIOL
HRTB101|D1|22,BUSINESS MANAGEMENT II
INMB201|D1|22,BUSINESS PRINCIPLES AND MANAGEMENT 1 MODULE 1B
RTMK201|D1|22,BUSINESS PRINCIPLES AND MANAGEMENT II Module IIB
CNST201|D1|22,BUSINESS PRINCIPLES AND MANAGEMENT III MODULE IIIB
FAVA301|D1|22,BRAND MANAGEMENT
ILGB101|D1|22,BIOREMEDIATION
JDDB201|D1|22,BUSINESS RESEARCH PROPOSAL
GPAT201|D1|22,BUSINESS RESEARCH REPORT
LWLF101|D1|22,BUSINESS RESEARCH PROPOSAL
UPPC401|D1|22,BUSINESS RESEARCH REPORT
OAPB101|D1|22,BUSINESS RESEARCH REPORT
INFS401|D1|22,BUSINESS RESEARCH REPORT
ERPB301|D1|22,BUSINESS RESEARCH PROPOSAL
INTA401|D1|22,BUSINESS ANALYSIS IIB
TAXT101|D3|22,BUSINESS ANALYSIS IIIB
ITEC202|I1|22,BUSINESS ANALYSIS PROJECT I
ANPB202|I1|22,BUSINESS ANALYSIS PROJECT II
DRIL201|D1|22,BIO & NAT SCI III: BIOPHYSICS & BIOCHEMI
ADLL402|P1|22,BSCM802 BUSINESS STRATEGY FOR CONSTRUCTION MANAG
PREG502|D1|22,BUSINESS CONCEPTS
LFSC302|I1|22,BUSINESS FUNDAMENTALS I
QUTC102|P1|22,BUSINESS FUNDAMENTALS II
DFAC101|I1|22,BUSINESS FUNDAMENTALS I
ITEC102|I1|22,BUSINESS INFORMATION SYSTEMS I
MSMP404|D1|22,BUSINESS INTELLIGENCE III
IPHC402|I1|22,BUSINESS  MANAGEMENT IB
APFM802|D1|22,BUSINESS MANAGEMENT III
AHRN802|P1|22,BUSINESS & MANAGEMENT II
MPSC201|D1|22,BUSINESS LAW II
IECO101|D1|22,BASIC PHARMACOLOGY I
GNEV401|P1|22,BUSINESS PRINCIPLES AND MANAGEMENT I (MODULE 2)
LETS401|P1|22,BUSINESS PRINCIPLES AND MANAGEMENT II (MOD 2)
APDJ102|I1|22,BUSINESS PRINCIPLES AND MANAGEMENT III
RPPB201|D1|22,BUSINESS RESEARCH REPORT
UIMS201|D1|22,BUSINESS RESEARCH REPORT
ENFL102|I1|22,BUSINESS RESEARCH REPORT VIII
PFDP101|D1|22,BUSINESS STUDIES
23DS201|D1|22,BUSINESS STUDIES II
IGSH101|D1|22,BUSINESS STUDIES 302
HMTL101|D1|22,BUSINESS STATISTICS II
CQLA101|D1|22,BUSINESS INFORMATION SYSTEMS
PTQS402|D1|22,BUSINESS FINANCE
TEXT202|D1|22,BUSINESS INFORMATICS
NSME101|D1|22,BUSINESS INTELLIGENCE 3
ADCD702|D3|22,BUSINESS LAW
NUTI202|D1|22,BUSINESS MANAGEMENT IB
ADIP402|D1|22,BUSINESS MANAGEMENT 3B
CMIN101|D1|22,BUSINESS RESEARCH REPORT
TRTB201|D1|22,COST ACCOUNTING I (AUGMENTED)
SERS101|D1|22,COST ACCOUNTING IIB (AUGMENTED)
COLA101|D1|22,COST ACCOUNTING IIB
QUTE101|D1|22,COST ACCOUNTING IIB
EDCN302|I1|22,COST ACCOUNTING II (MODULE 2)
CURM101|D1|22,COMPUTER AIDED DESIGN IIA
PTCB201|D1|22,COMPUTER AIDED DRAWING AND DESIGN
SHPM201|D1|22,COMPUTER AIDED DESIGN 4
EMAF301|P1|11,COMPUTER AIDED DESIGN III
PFDP201|D1|22,COMMUNITY ENGAGEMENT AND DEVELOPMENT I
MASN202|I1|22,CATERING FINANCIAL MANAGEMENT 301
TDNB301|D1|22,COMPUTER AND INFORMATION SCIENCES
HORP802|D1|22,CATERING MANAGEMENT 301
STRA201|I1|22,CELL BIOLOGY
RSPR501|D1|22,CONTEMPORARY BUSINESS PRACTICE
DEVP202|I1|22,COMMERCIAL COOKERY 102
PBMA101|P1|22,COMMERCIAL COOKERY 202
CYCP401|D1|22,CLINICAL CHIROPRACTIC & BIOMECHANICS 1
FIRP402|D1|22,CLINICAL CHIROPRACTIC &  BIOMECHANICS 2
ITCT101|D1|22,CHEMISTRY AND COLOUR PHYSICS
BSAB201|D1|22,COMMERCIAL LAW FOR TOURISM
CYTL101|D1|22,COMMERCIAL LAW II
OPRT201|D3|22,CHIROPRACTICCASE MANAGEMENT
RAJO202|D1|22,COMMUNICATION SKILLS
BSIS101|D1|22,CLINICAL CHIROPRACTIC PRACTICUM VB
FPSO102|D1|22,CRITICAL & CONTEXTUALSTUDIES I
APTH101|D1|22,CHILD AND YOUTH CARE WORK IV B
INTC802|D1|22,CAPSTONE DESIGN PROJECT
JDMA402|D1|22,CHEMICAL ENGINEERING DESIGN IIB
PTCB301|D1|22,CHEMICAL ENGINEERING DESIGN IIIB
FNPM802|D1|22,CHEMICAL ENGINEERING DESIGN I
BMTS102|P1|22,CHEMICAL ENGINEERING FUNDAMENTALS 1B
APRN401|P1|22,CHEMICAL ENGINEERING LABORATORY IB
CMAA101|I1|22,CHEMICAL ENGINEERING LABORATORY IIB
THCL401|D1|22,CIVIL ENGINNERINGMETHODS
FCTN121|D1|22,COMMUNITY ENGAGEMENT
CENG101|D1|22,CHEMICAL ENGINEERING PROCESS DESIGN 4B
QPIM802|D3|22,COMMUNITY ENGAGEMENT PROCESSES
RAPM802|D1|21,COMMUNITY ENGAGEMENT PROJ
SCRB101|D1|22,CLINICAL NURSING PRAC: FUNDAMENT NURS SC
CMLB201|D3|22,CORPORATE GOVERNANCE AND BUSINESS ETHICS
FMIC302|D1|22,CORPORATE GOVERNANCE AND BUSINESS ETHICS
PFSP301|D1|22,CORPORATE GOVERNANCE AND BUSINESS ETHICS
GENV101|P1|22,CORPORATE GOVERNANCE & BUSINESS ETHICS
ADRE401|D1|22,CHEMISTRY AND COLOUR PHYSICS 3
ALIN101|D1|11,CHEMISTRY AND COLOUR PHYSICS
ECTF301|P1|11,CHEMISTRY PROJECT IV
DIJO302|D1|22,CHEMISTRY I
ERPB401|D1|22,CHEMISTRY B
FSTC201|D1|22,CHEMISTRY PROJECT I
PJMN101|D1|22,COMMUNITY HEALTHCARE AND ADVANCED
IWEB201|I1|22,CHEMISTRY B
RPPB101|D1|22,CIVIL MECHANICS 1
DPJT121|D1|22,CLINICAL ANATOMY
ATMT802|D1|22,COMMERCIAL LAW FOR ACCOUNTANTS I
COTH401|D1|22,COMMERCIAL LAW
ADCP702|D1|22,CORPORATE LAW
ELTE302|I1|22,COMMERCIAL LAW FOR ACCOUNTANTS 2B
TRAN102|D1|22,CLINICAL PRACTICE I
EDUT101|D1|22,CLINICAL PRACTICE II
PSCI302|I1|22,CLINICAL PRACTICE III
PHYP201|D1|22,CULTURAL DIVERSITY
ALWR101|D1|22,CLINICAL ENDOCRINOLOGY AND OPTHALMOLOGY
PFNM201|D1|22,COMMERCIAL LAW FOR ACCOUNTING
MCCB322|P1|22,CLINICAL PRACTICE
ROMB201|D1|22,CONSTITUTIONAL LAW & HUMAN RIGHTS
CACB201|D1|22,CLINIC OBS PROGRAMME
MCHM102|D1|22,COMMERCIAL LAW 2B
TLPM101|P1|21,CLINICAL MENTORING AND ASSESMENT
VPRT202|D1|22,CLINICAL PAEDIATRICS
CEDS101|D1|22,CLINICAL PRACTICE IIB
NTRN101|D1|11,CLINICAL PRACTICE IIIB
BRRT802|P1|22,CLINICAL PRACTICE IVB
DATB101|D1|22,CLINICAL PRACTICE IVB (PROSTHETICS)
COLA201|D1|22,CLINICAL PRACTICE
BAIL102|D1|22,CLINICAL PRACTICE
TRFP101|D1|22,CLINICAL PRACTICE
INTD101|D1|22,CLINICAL PRACTICE
EDTH302|D1|22,COLOURATION TECHNOLOGY III
POPR101|D1|22,CLINICAL TECHNOLOGY PRACTICE
SYPT102|D1|22,COMMERCIAL LAW FOR ACCOUNTANTS I
CLAW221|P1|22,OMMERCIAL LAW FOR ACCOUNTANTS II (MODULE 1)
PPRM301|D1|21,OMMERCIAL LAW FOR ACCOUNTANTS II (MODULE 1)
GLEN301|D1|22,COMPUTER APPLICATIONS A
COAR201|D1|22,COMPUTER APPLICATIONS B
TXSB101|D1|22,COST ACCOUNTING 1B
PTPY201|D1|22,COST AND MANAGEMENT ACCOUNTING 2B
QDCB201|D1|22,COMMUNICATION LITERACY I
MSEG201|D1|22,COMMUNITY ENGAGEMENT PROJECT
TASM101|D3|22,LINICAL MUSCULOSKELETAL AND HAEMATOLOGY
MLIT102|I1|22,COMPUTER AND INFORMATION TECHNOLOGY
PJMN102|D1|22,COMMERCIAL LAW IIB
STHM401|D3|22,COMMERCIAL LAW IIB
PTMN201|D1|22,COMMERCIAL LAW I
EDUT101|I1|22,COMMERCIAL LAW II MODULE II
ADJT101|D1|11,COMMUNICATION PRACTICE
IPDB201|D1|22,COMMUNICATION I
TSTM101|D1|22,CONSTRUCTION MANAGEMENT 1B
CLPB201|D1|22,CONSTRUCTION MANAGEMENT 2B
STSC802|P1|22,COMMUNICATION  PRACTICE
REMA401|D1|22,COMPLIANCE MANAGEMENT
CHEP401|D1|22,CHEMISTRY
PYSI121|D1|22,CLINICAL PRACTICE I
VNVL101|D1|22,CONSTRUCTION MANAGEMENT IB
JTPP402|D1|22,CONSTRUCTION MANAGEMENT IIB
TSCI202|I1|22,CLINICAL NEPHROLOGY AND NEUROLOGY
CLAN101|D1|22,CLIN NURS PRAC IB: GENERAL NURS SCIENCE
MNAF121|D1|22,CLIN NURS PRAC IB: Mental Health
ECOF201|P1|11,CLIN NURS PRAC IB: PRIMARY HEALTH CARE
CNTK102|I1|22,CLINICAL NURSING PROJECT IVB
HDEV101|D1|22,CONSTRUCTION TECHNOLOGY II
ORIB101|D1|22,CONSTRUCTION TECHNOLOGY IB
BSRR801|D3|22,CONSTRUCTION TECHNOLOGY IB
FMTA201|P1|22,CONSTRUCTION TECHNOLOGY IIIB
AVCD321|D1|22,COMMUNICATION NETWORKS 1
ITRL101|D1|22,CONTRACT MANAGEMENT
EVEM101|P1|22,COMMUNICATION NETWORKS
WATT802|D1|22,COMPUTER ORGANISATION AND ARCHITECTURE I
EDTB101|D1|22,CONSUMER BEHAVIOUR I
ACOL102|D1|22,CARRIAGE OF DANGEROUS CARGO
SKDB201|D1|22,CONSERVATION HORTICULTURE 4B
AFLZ102|D1|22,CONSERVATION HORTICULTURE 5B
ADFM802|D3|22,COMMERCIAL LAW FOR ACCOUNTANTS IB
PPMG101|P1|22,COMMERCIAL LAW FOR ACCOUNTANTS IIB
ROPS101|D1|22,COMMERCIAL LAW FOR ACCOUNTANTS IIB
ADTG301|P1|22,COMPUTER LITERACY
INTE802|D1|22,COST AND MANAGEMENT ACCOUNTING IB
ICTC101|D1|22,COST AND MANAGEMENT ACCOUNTING IIB
MMED203|D1|22,COMPOSITE MATERIALS
TAIP402|D1|22,COMMUNICATION DYNAMICS
SLMA201|I1|22,DIGITAL COMMUNICATION AND MULTIMEDIA
TRTB301|D1|22,COMMUNICATION IN ENGLISH
STHM401|D1|22,COMMUNICATION IN ENGLISH
RESC404|D1|22,COMMUNITY ENGAGEMENT
MPLN201|D1|22,COMMUNICATION IN ISIZULU II
LSKL201|I1|22,CONSTRUCTION TECHNOLOGY 2B
FCTN221|D1|22,COLOURATION THEORY 3
BIOR702|D1|22,COMPLEMENTARY THERAPY
LPPB201|D1|22,CLIN LAB PRAC II: CLIN PATH MOD B
TENE101|P1|22,CLIN NURS PRAC IA: MEDICAL & SERGICAL IA
PANP101|D1|22,CHIROPRACTIC PRINCIPLES & PRACTICE I
BCIF101|D1|22,CHIROPRACTIC PRINCIPLES & PRACTICE II
FRCH101|D1|22,CHIROPRACTIC PRINCIPLES AND PRACTICE IIIA
ERTB201|D1|22,CHIROPRACTIC PRINCIPLES AND PRACTICE IV B
DFIT101|I1|22,CAPSTONE PROJECT
SMAE802|D3|22,CAPACITY DEVELOPMENT II
TASM101|D1|22,COMPLEMENTARY THERAPY II
APPM101|D3|22,COMPUTER PROGRAMMING III
FICC202|D1|22,CONTINUAL QUALITY IMPROVEMENT VIII
MMGN402|D1|22,CHEMICAL QUALITY ASSURANCE
CVTE302|I1|22,COMMERCIAL LAW II
MAIN301|D1|22,CUSTOMER RELATIONS MANAGEMENT
INTFIAC|D6|11,CORPORATE PROCEDURES
MACT321|P1|22,CLINICAL RESPIRATORY
DSNP301|D1|22,CRITICAL THINKING
RFLL201|P1|22,COST ACCOUNTING 2B
CELB101|D1|22,CONSTRUCTION  MANAGEMENT DISERTATION 4B
ACCM301|D1|22,CULINARY STUDIES AND NUTRITION
MFBE102|I1|22,CORNERSTONE 101
WTRM301|D1|22,CORNERSTONE 101
GPTA101|D1|22,CORNERSTONE 101
ITIN101|D3|22,CONTRACT ADMINISTRATION
